[2025-10-16 17:46:28] ✅ All tables dropped and created successfully.
[2025-10-16 17:46:57] ✅ Inserted 5 rows for aggregated_transaction: D:\Labmentix\Phone Pay\pulse\data\aggregated\transaction\country\india\state\arunachal-pradesh\2018\1.json
[2025-10-16 17:46:57] ✅ Inserted 5 rows for aggregated_transaction: D:\Labmentix\Phone Pay\pulse\data\aggregated\transaction\country\india\state\arunachal-pradesh\2018\2.json
[2025-10-16 17:46:58] ✅ Inserted 5 rows for aggregated_transaction: D:\Labmentix\Phone Pay\pulse\data\aggregated\transaction\country\india\state\arunachal-pradesh\2018\3.json
[2025-10-16 17:46:58] ✅ Inserted 5 rows for aggregated_transaction: D:\Labmentix\Phone Pay\pulse\data\aggregated\transaction\country\india\state\arunachal-pradesh\2018\4.json
[2025-10-16 17:46:58] ✅ Inserted 5 rows for aggregated_transaction: D:\Labmentix\Phone Pay\pulse\data\aggregated\transaction\country\india\state\arunachal-pradesh\2019\1.json
[2025-10-16 17:46:59] ✅ Inserted 5 rows for aggregated_transaction: D:\Labmentix\Phone Pay\pulse\data\aggregated\transaction\country\india\state\arunachal-pradesh\2019\2.json
[2025-10-16 17:46:59] ✅ Inserted 5 rows for aggregated_transaction: D:\Labmentix\Phone Pay\pulse\data\aggregated\transaction\country\india\state\arunachal-pradesh\2019\3.json
[2025-10-16 17:46:59] ✅ Inserted 5 rows for aggregated_transaction: D:\Labmentix\Phone Pay\pulse\data\aggregated\transaction\country\india\state\arunachal-pradesh\2019\4.json
[2025-10-16 17:47:00] ✅ Inserted 5 rows for aggregated_transaction: D:\Labmentix\Phone Pay\pulse\data\aggregated\transaction\country\india\state\arunachal-pradesh\2020\1.json
[2025-10-16 17:47:00] ✅ Inserted 5 rows for aggregated_transaction: D:\Labmentix\Phone Pay\pulse\data\aggregated\transaction\country\india\state\arunachal-pradesh\2020\2.json
[2025-10-16 17:47:00] ✅ Inserted 5 rows for aggregated_transaction: D:\Labmentix\Phone Pay\pulse\data\aggregated\transaction\country\india\state\arunachal-pradesh\2020\3.json
[2025-10-16 17:47:01] ✅ Inserted 5 rows for aggregated_transaction: D:\Labmentix\Phone Pay\pulse\data\aggregated\transaction\country\india\state\arunachal-pradesh\2020\4.json
[2025-10-16 17:47:01] ✅ Inserted 5 rows for aggregated_transaction: D:\Labmentix\Phone Pay\pulse\data\aggregated\transaction\country\india\state\arunachal-pradesh\2021\1.json
[2025-10-16 17:47:02] ✅ Inserted 5 rows for aggregated_transaction: D:\Labmentix\Phone Pay\pulse\data\aggregated\transaction\country\india\state\arunachal-pradesh\2021\2.json
[2025-10-16 17:47:02] ✅ Inserted 5 rows for aggregated_transaction: D:\Labmentix\Phone Pay\pulse\data\aggregated\transaction\country\india\state\arunachal-pradesh\2021\3.json
[2025-10-16 17:47:03] ✅ Inserted 5 rows for aggregated_transaction: D:\Labmentix\Phone Pay\pulse\data\aggregated\transaction\country\india\state\arunachal-pradesh\2021\4.json
[2025-10-16 17:47:03] ✅ Inserted 5 rows for aggregated_transaction: D:\Labmentix\Phone Pay\pulse\data\aggregated\transaction\country\india\state\arunachal-pradesh\2022\1.json
[2025-10-16 17:47:03] ✅ Inserted 5 rows for aggregated_transaction: D:\Labmentix\Phone Pay\pulse\data\aggregated\transaction\country\india\state\arunachal-pradesh\2022\2.json
[2025-10-16 17:47:04] ✅ Inserted 5 rows for aggregated_transaction: D:\Labmentix\Phone Pay\pulse\data\aggregated\transaction\country\india\state\arunachal-pradesh\2022\3.json
[2025-10-16 17:47:04] ✅ Inserted 5 rows for aggregated_transaction: D:\Labmentix\Phone Pay\pulse\data\aggregated\transaction\country\india\state\arunachal-pradesh\2022\4.json
[2025-10-16 17:47:05] ✅ Inserted 5 rows for aggregated_transaction: D:\Labmentix\Phone Pay\pulse\data\aggregated\transaction\country\india\state\arunachal-pradesh\2023\1.json
[2025-10-16 17:47:05] ✅ Inserted 5 rows for aggregated_transaction: D:\Labmentix\Phone Pay\pulse\data\aggregated\transaction\country\india\state\arunachal-pradesh\2023\2.json
[2025-10-16 17:47:05] ✅ Inserted 5 rows for aggregated_transaction: D:\Labmentix\Phone Pay\pulse\data\aggregated\transaction\country\india\state\arunachal-pradesh\2023\3.json
[2025-10-16 17:47:06] ✅ Inserted 5 rows for aggregated_transaction: D:\Labmentix\Phone Pay\pulse\data\aggregated\transaction\country\india\state\arunachal-pradesh\2023\4.json
[2025-10-16 17:47:06] ✅ Inserted 5 rows for aggregated_transaction: D:\Labmentix\Phone Pay\pulse\data\aggregated\transaction\country\india\state\arunachal-pradesh\2024\1.json
[2025-10-16 17:47:07] ✅ Inserted 5 rows for aggregated_transaction: D:\Labmentix\Phone Pay\pulse\data\aggregated\transaction\country\india\state\arunachal-pradesh\2024\2.json
[2025-10-16 17:47:07] ✅ Inserted 5 rows for aggregated_transaction: D:\Labmentix\Phone Pay\pulse\data\aggregated\transaction\country\india\state\arunachal-pradesh\2024\3.json
[2025-10-16 17:47:08] ✅ Inserted 5 rows for aggregated_transaction: D:\Labmentix\Phone Pay\pulse\data\aggregated\transaction\country\india\state\arunachal-pradesh\2024\4.json
[2025-10-16 17:47:08] ✅ Inserted 5 rows for aggregated_transaction: D:\Labmentix\Phone Pay\pulse\data\aggregated\transaction\country\india\state\assam\2018\1.json
[2025-10-16 17:47:08] ✅ Inserted 5 rows for aggregated_transaction: D:\Labmentix\Phone Pay\pulse\data\aggregated\transaction\country\india\state\assam\2018\2.json
[2025-10-16 17:47:09] ✅ Inserted 5 rows for aggregated_transaction: D:\Labmentix\Phone Pay\pulse\data\aggregated\transaction\country\india\state\assam\2018\3.json
[2025-10-16 17:47:09] ✅ Inserted 5 rows for aggregated_transaction: D:\Labmentix\Phone Pay\pulse\data\aggregated\transaction\country\india\state\assam\2018\4.json
[2025-10-16 17:47:09] ✅ Inserted 5 rows for aggregated_transaction: D:\Labmentix\Phone Pay\pulse\data\aggregated\transaction\country\india\state\assam\2019\1.json
[2025-10-16 17:47:10] ✅ Inserted 5 rows for aggregated_transaction: D:\Labmentix\Phone Pay\pulse\data\aggregated\transaction\country\india\state\assam\2019\2.json
[2025-10-16 17:47:10] ✅ Inserted 5 rows for aggregated_transaction: D:\Labmentix\Phone Pay\pulse\data\aggregated\transaction\country\india\state\assam\2019\3.json
[2025-10-16 17:47:11] ✅ Inserted 5 rows for aggregated_transaction: D:\Labmentix\Phone Pay\pulse\data\aggregated\transaction\country\india\state\assam\2019\4.json
[2025-10-16 17:47:11] ✅ Inserted 5 rows for aggregated_transaction: D:\Labmentix\Phone Pay\pulse\data\aggregated\transaction\country\india\state\assam\2020\1.json
[2025-10-16 17:47:11] ✅ Inserted 5 rows for aggregated_transaction: D:\Labmentix\Phone Pay\pulse\data\aggregated\transaction\country\india\state\assam\2020\2.json
[2025-10-16 17:47:12] ✅ Inserted 5 rows for aggregated_transaction: D:\Labmentix\Phone Pay\pulse\data\aggregated\transaction\country\india\state\assam\2020\3.json
[2025-10-16 17:47:12] ✅ Inserted 5 rows for aggregated_transaction: D:\Labmentix\Phone Pay\pulse\data\aggregated\transaction\country\india\state\assam\2020\4.json
[2025-10-16 17:47:13] ✅ Inserted 5 rows for aggregated_transaction: D:\Labmentix\Phone Pay\pulse\data\aggregated\transaction\country\india\state\assam\2021\1.json
[2025-10-16 17:47:13] ✅ Inserted 5 rows for aggregated_transaction: D:\Labmentix\Phone Pay\pulse\data\aggregated\transaction\country\india\state\assam\2021\2.json
[2025-10-16 17:47:13] ✅ Inserted 5 rows for aggregated_transaction: D:\Labmentix\Phone Pay\pulse\data\aggregated\transaction\country\india\state\assam\2021\3.json
[2025-10-16 17:47:14] ✅ Inserted 5 rows for aggregated_transaction: D:\Labmentix\Phone Pay\pulse\data\aggregated\transaction\country\india\state\assam\2021\4.json
[2025-10-16 17:47:14] ✅ Inserted 5 rows for aggregated_transaction: D:\Labmentix\Phone Pay\pulse\data\aggregated\transaction\country\india\state\assam\2022\1.json
[2025-10-16 17:47:14] ✅ Inserted 5 rows for aggregated_transaction: D:\Labmentix\Phone Pay\pulse\data\aggregated\transaction\country\india\state\assam\2022\2.json
[2025-10-16 17:47:15] ✅ Inserted 5 rows for aggregated_transaction: D:\Labmentix\Phone Pay\pulse\data\aggregated\transaction\country\india\state\assam\2022\3.json
[2025-10-16 17:47:15] ✅ Inserted 5 rows for aggregated_transaction: D:\Labmentix\Phone Pay\pulse\data\aggregated\transaction\country\india\state\assam\2022\4.json
[2025-10-16 17:47:16] ✅ Inserted 5 rows for aggregated_transaction: D:\Labmentix\Phone Pay\pulse\data\aggregated\transaction\country\india\state\assam\2023\1.json
[2025-10-16 17:47:16] ✅ Inserted 5 rows for aggregated_transaction: D:\Labmentix\Phone Pay\pulse\data\aggregated\transaction\country\india\state\assam\2023\2.json
[2025-10-16 17:47:16] ✅ Inserted 5 rows for aggregated_transaction: D:\Labmentix\Phone Pay\pulse\data\aggregated\transaction\country\india\state\assam\2023\3.json
[2025-10-16 17:47:17] ✅ Inserted 5 rows for aggregated_transaction: D:\Labmentix\Phone Pay\pulse\data\aggregated\transaction\country\india\state\assam\2023\4.json
[2025-10-16 17:47:17] ✅ Inserted 5 rows for aggregated_transaction: D:\Labmentix\Phone Pay\pulse\data\aggregated\transaction\country\india\state\assam\2024\1.json
[2025-10-16 17:47:17] ✅ Inserted 5 rows for aggregated_transaction: D:\Labmentix\Phone Pay\pulse\data\aggregated\transaction\country\india\state\assam\2024\2.json
[2025-10-16 17:47:18] ✅ Inserted 5 rows for aggregated_transaction: D:\Labmentix\Phone Pay\pulse\data\aggregated\transaction\country\india\state\assam\2024\3.json
[2025-10-16 17:47:18] ✅ Inserted 5 rows for aggregated_transaction: D:\Labmentix\Phone Pay\pulse\data\aggregated\transaction\country\india\state\assam\2024\4.json
[2025-10-16 17:47:18] ✅ Inserted 5 rows for aggregated_transaction: D:\Labmentix\Phone Pay\pulse\data\aggregated\transaction\country\india\state\bihar\2018\1.json
[2025-10-16 17:47:19] ✅ Inserted 5 rows for aggregated_transaction: D:\Labmentix\Phone Pay\pulse\data\aggregated\transaction\country\india\state\bihar\2018\2.json
[2025-10-16 17:47:19] ✅ Inserted 5 rows for aggregated_transaction: D:\Labmentix\Phone Pay\pulse\data\aggregated\transaction\country\india\state\bihar\2018\3.json
[2025-10-16 17:47:20] ✅ Inserted 5 rows for aggregated_transaction: D:\Labmentix\Phone Pay\pulse\data\aggregated\transaction\country\india\state\bihar\2018\4.json
